question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
"If $$16x^2 + y^2 = 48$$ and $$xy = 2, x, y > 0$$, then the value of $$(64x^3 + y^3)$$ is:",320,300,240,340,2021,E,13th August Shift 2,A,Algebra,Identities
"If $$x - \frac{1}{x} = 5, x \neq 0$$, then what is the value of $$\frac{x^6 - 5x^3 - 1}{x^6 + 7x^3 - 1}$$?",$$\frac{45}{49}$$,$$\frac{45}{41}$$,$$\frac{41}{45}$$,$$\frac{49}{45}$$,2021,M,13th August Shift 2,A,Algebra,Identities
A shopkeeper sold two articles for ₹10591 each. On one he gained 19% and onthe other he lost 11%. What was his overall gain or loss percent(correct to one decimalplace)?,Profit 1.8%,Profit 5%,Loss 10%,Loss 2.7%,2021,M,13th August Shift 2,A,Arithmetic,Profit & Loss
The value of$$\frac{4 \sin^2 30^\circ \tan 60^\circ - 3 \cos^2 60^\circ \sec^2 30^\circ}{4 \cot^2 45^\circ - \sec^2 60^\circ + \sin^2 60^\circ + \cos^2 90^\circ}$$ is:,$$\frac{2(\sqrt{3} - 2)}{3}$$,$$\frac{1}{3}(\sqrt{3} + 2)$$,$$\frac{2(\sqrt{3} + 2)}{3}$$,$$\frac{1}{3}(\sqrt{3} - 2)$$,2021,E,13th August Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"If $$\frac{\cos^2 \theta}{\cot^2 \theta + \sin^2 \theta - 1} = 3, 0^\circ < \theta < 90^\circ$$, then the value of $$(\tan \theta + cosec \theta)$$ is:",$$\frac{5\sqrt{3}}{3}$$,$$3\sqrt{3}$$,$$2\sqrt{3}$$,$$\frac{4\sqrt{3}}{3}$$,2021,E,13th August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"$$\frac{cosec \theta}{cosec \theta - 1} + \frac{cosec \theta}{cosec \theta + 1} - \tan^2 \theta, 0^\circ < \theta < 90^\circ$$, is equal to:",$$\sec^2 \theta + 1$$,$$\sec^2 \theta$$,$$2 \sec^2 \theta$$,$$1 - \tan^2 \theta$$,2021,E,13th August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
Length of each side of a rhombus is 13 cm and one of the diagonal is 24 cm. What is the area (in cm$$^2$$) of the rhombus?,120,300,60,240,2021,E,13th August Shift 1,A,Mensuration,Plane Figures
"Sides AB and DC of a cyclic quadrilateral ABCD are produced to meetat E and sides AD and BC are produced to meet at F. If $$\angle ADC = 78^\circ$$ and $$\angle BEC = 52^\circ$$, then the measure of $$\angle AFB$$ is:",$$28^\circ$$,$$26^\circ$$,$$32^\circ$$,$$30^\circ$$,2021,M,13th August Shift 1,A,Geometry,Quadrilaterals
Find the value of $$\cot 25^\circ \cot 35^\circ \cot 45^\circ \cot 55^\circ \cot 65^\circ$$.,$$\frac{1}{\sqrt{3}}$$,$$\sqrt{3}$$,$$\frac{\sqrt{3}}{2}$$,1,2021,E,13th August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"Some fruits are bought at 15 for ₹140 and an equal number of fruits at 10 for ₹120.If all the fruits are sold at ₹132 per dozen, then what is the profit percent in the entire transaction?",$$3\frac{1}{8}$$,$$4\frac{1}{2}$$,$$2\frac{1}{4}$$,3,2021,E,13th August Shift 1,A,Arithmetic,Profit & Loss
"What is the compound interest (in ₹) on a sum of 28192 for $$1\frac{1}{4}$$ years at 15% per annum, if interest is compounded 5- monthly?",1634,1740,1735,1640,2021,E,13th August Shift 1,A,Arithmetic,SI & CI
"A circle touches all the four sides of a quadrilateral ABCD whose sides are AB = 8.4 cm, BC = 9.8 cm and CD = 5.6 cm. The length of side AD, in cm, is:",4.9,4.2,3.8,2.8,2021,M,13th August Shift 3,B,Geometry,"Circles,Chords & Tangents"
"If $$3 \tan \theta = 2\sqrt{3} \sin \theta, 0^\circ < \theta < 90^\circ$$, then find the value of $$2 \sin^2 2\theta - 3 \cos^2 3\theta$$.",1,$$\frac{3}{2}$$,$$\frac{1}{2}$$,$$-\frac{3}{2}$$,2021,E,13th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
The value of $$90 \div 20   \text{of}  6 \times [11 \div 4   \text{of}   \left\{3 \times 2 - (3 - 8)\right\}] \div (9 \div 3 \times 2)$$ is:,$$\frac{1}{36}$$,$$\frac{1}{32}$$,$$\frac{9}{8}$$,$$\frac{3}{8}$$,2021,E,13th August Shift 3,B,Arithmetic,Simplification
Two equal sums were lent on simple interest at 6% and 10% per annum respectively. The first sum was recovered two years later than the second sum and the amount in each case was ₹1105. What was the sum (in ₹) lent in each scheme?,900,850,936,891,2021,E,13th August Shift 3,B,Arithmetic,SI & CI
If $$3 \sec \theta + 4 \cos \theta - 4\sqrt{3} = 0$$ where $$\theta$$ is an acute angle then the value of $$\theta$$ is:,$$20^\circ$$,$$30^\circ$$,$$60^\circ$$,$$45^\circ$$,2021,M,13th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"A man and a woman, working together can do a work in 66 days. The ratio of their working efficiencies is 3 : 2. In how many days 6 men and 2 women working together can do the same work?",18,15,14,12,2021,E,13th August Shift 3,B,Arithmetic,Time & Work
"If $$x - y = 4$$ and $$x^3 - y^3 = 316, y > 0$$ then the value of $$x^4 - y^4$$ is:",2500,2320,2401,2482,2021,E,20th August Shift 3,B,Algebra,Identities
"The number 823p2q is exactly divisible by 7, 11 and 13. What is the value of (p - q)?",8,5,11,3,2021,E,20th August Shift 3,B,Arithmetic,Divisibility & Remainder
"Two numbers are in the ratio 2 : 3. If 5 is subtracted from the first number and six is added to the second number, then the ratio becomes 5 : 12. What would the ratio become when eight is added to each number?",19:14,14:19,11:14,14:11,2021,E,20th August Shift 3,B,Arithmetic,Ratio & Proportion
A boat goes 30 km upstream in 3 hours and downstream in 1 hour. How much time (in hours) will this boat take to cover 60 km in still water?,6,3,2,5,2021,M,20th August Shift 3,B,Arithmetic,Boats & Streams
"Table shows District-wise data of number of primary school teachers posted in schools ofa city.
Study the table and answer the question.
https://media-cdn.cracku.in/uploads/Screenshot_380_5TpBQrr.png                                                                                                                                                                 In which district(s) is the number of female teachers Exceed the number of male teachers by more than 500?",West and South,East and North,North and South,East and West,2021,E,20th August Shift 3,B,Data Interpretation,Tables
"Study the following table and answer the question:
Percentage of marks obtained by six students A, B, C, D, E and F in five subjects.
https://media-cdn.cracku.in/uploads/Screenshot_379_TnVIbvs.png                                                                                                                                                              The total marks obtained by student F in English, Science and Hindi is approximately what percent of the total marks obtained by student A in English, Mathematics, Science and Hindi? (Correct to one decimal place)",50.2,49.3,48.4,45.5,2021,M,20th August Shift 3,B,Data Interpretation,Tables
The value of $$\sin^2 60^\circ \cos^2 45^\circ + 2 \tan^2 60^\circ - cosec^2 30^\circ$$ is equal to:,$$\frac{17}{24}$$,$$\frac{19}{8}$$,$$-\frac{17}{24}$$,$$-\frac{19}{8}$$,2021,E,20th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
The side of an equilateral $$\triangle ABC$$ is $$3\sqrt{7}$$ cm. P is a point on side BC such that BP : PC = 1 : 2. The length (in cm) of AP is:,6,7,$$7\sqrt{3}$$,$$6\sqrt{3}$$,2021,E,20th August Shift 3,B,Mensuration,Plane Figures
The value of $$\sec^4 \theta (1 - \sin^4 \theta) - 2 \tan^2 \theta$$ is:,$$\frac{1}{2}$$,1,-1,0,2021,M,20th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"Points A and B are on a circle with centre O. Point C is on the major are AB. If $$\angle OAC = 35^\circ$$ and $$\angle OBC = 45^\circ$$, then what is the measure (in degrees) of the angle subtended by the minor are AB at the centre?",70,160,80,100,2021,M,18th August Shift 3,B,Geometry,"Circles,Chords & Tangents"
"Five men can complete a work in 20 days. Ten women can complete the same work in 15 days. Two men and six women started working together. After 5 days, three women left the work and a new man joined the work. The group continued working together till the end of the work. In how many days will they be able to do the remaining work?",$$16\frac{2}{3}$$,14,$$18\frac{1}{3}$$,19,2021,E,18th August Shift 3,B,Arithmetic,Time & Work
"If $$x - \frac{1}{x} = \sqrt{77}$$, then one of the values of $$x^3 + \frac{1}{x^3}$$ is:",$$80\sqrt{77}$$,-702,$$77\sqrt{77}$$,$$3\sqrt{77}$$,2021,M,18th August Shift 3,B,Algebra,Identities
Find the sum of squares of the greatest value and the smallest value of K in the number so that the number 45082K is divisible by 3.,100,68,50,64,2021,E,17th August Shift 3,B,Arithmetic,Divisibility & Remainder
"In triangle ABC, D is a point on BC such that BD : DC =3 : 4. E is a point on AD such that AE : ED = 2 : 3. Find the ratio area $$(\triangle ECD)$$ : area $$(\triangle AEB)$$.",09:08,02:01,01:02,08:09,2021,M,17th August Shift 3,B,Geometry,Congruence and Similarity of Triangles
"The following Pie charts represent the distribution of candidates who were enrolled for competitive examination and the candidates (out of those enrolled) who passed the exam from five different institutes P, Q, R, S and T. Fig.(i) Total number of candidates enrolled in five different institutes = 7500
https://media-cdn.cracku.in/uploads/Screenshot_204_hbMOdgX.png
Fig.(ii) Total number of candidates passed the examination from five Institutes = 4000
https://media-cdn.cracku.in/uploads/Screenshot_205_279vM3f.png
What is the pass percentage for institute Q? (correct up to one decimal place.)",71.10%,42.70%,48%,80%,2021,E,17th August Shift 3,B,Data Interpretation,Pie Chart
"The ratio of present ages of A and is 7 : 8. After 6 years from now, the ratio of their ages will be 8 : 9. If C's present age is 10 years more than the presentage of A, then the present age (in years) of C is:",45,52,59,56,2021,M,17th August Shift 3,B,Arithmetic,Age
"If $$x^2 + 9y^2 + 4z^2 = 12(x - 2y + 2z) - 88$$, then the value of $$(x - 3y + z)$$ is:",11,13,10,5,2021,E,17th August Shift 3,B,Algebra,Identities
"A man can rowa distance of 8 km downstream in a certain time and can row 6 km upstream in the same time. If he rows 24 km upstream and the same distance downstream in $$1\frac{2}{4}$$ hours, then the speed (in km/h) of the current is:",$$4\frac{1}{2}$$,$$4$$,$$3$$,$$2\frac{1}{2}$$,2021,H,17th August Shift 3,B,Arithmetic,Boats & Streams
What is the area of the square (in cm$$^2$$) whose vertices lie on a circle of radius 5 cm?,80,50,100,75,2021,E,17th August Shift 3,B,Mensuration,Plane Figures
"A man borrowed a certain sum and agrees to repay it by paying ₹4000 atthe end of first year and ₹7700 at the end of second year. If the rate of compoundinterest compounded annually is 10% per annum,then find the sum (in ₹) borrowed.",11000,10000,9000,11500,2021,M,17th August Shift 3,B,Arithmetic,SI & CI
"In a circle with centre O, AB is a chord of length 10 cm. Tangents at points A and B intersect outside the circle at P. If OP = 2 OA, then find the length (in cm) of AP.",12.5,10,12,15,2021,M,24th August Shift 2,B,Geometry,"Circles,Chords & Tangents"
"Trader A gives a single discount of 25% and Trader B gives two successive discounts of 20% and 5% on an identical item. If the discount given by A is ₹320 more than the discount given by B, then what is the marked price (in ₹) of the item?",3200,32000,30000,25000,2021,E,24th August Shift 2,B,Arithmetic,Discount
"If $$y = 2x + 1$$, then what is the value of $$(8x^3 - y^3 + 6xy)$$?",1,-1,15,-15,2021,M,24th August Shift 2,B,Algebra,Identities
"Places A and are 45 km apart from each other. A car starts from place A and another car starts from place at the same time. If they move in the same direction, they meet in 4 and a half hour and if they move towardseach other, they meet in 27 minutes. What is the speed (in km/h) of the car which moves faster?",56,55,45,50,2021,H,24th August Shift 2,B,Arithmetic,"Speed, Time & Distance"
"Pie-Chart shows the degree wise breakup of expenditure of a family in a month. Total income of the family is ₹144000.
https://media-cdn.cracku.in/uploads/Screenshot_433_pKD7jVa.png
What is the expenditure (in ₹) on education?",12000,24000,36000,20000,2021,E,23rd August Shift 2,B,Data Interpretation,Pie Chart
"To do a certain work, efficiencies of A and B are in the ratio 7:5. Working together, they can complete the work in $$17\frac{1}{2}$$ days. In how many days, will B alone complete 50% of the same work?",42,21,15,30,2021,E,23rd August Shift 2,B,Arithmetic,Time & Work
Radha bought a fridge and a washing machine together for ₹57300. She sold the fridge at a profit of 15% and washing machine at a loss of 24% and both are sold at the same price. The cost price of washing machine(in ₹) is:,28650,34500,24500,22800,2021,E,23rd August Shift 2,B,Arithmetic,Profit & Loss
"If $$x^4+x^2y^2+y^4=21$$ and $$x^2+xy+y^2=3$$, then what is the value of $$\left(-xy\right)$$?",-1,2,1,-2,2021,M,23rd August Shift 2,B,Algebra,Identities
"In $$\triangle$$ABC, D is a point on BC such that $$\angle$$BAD = $$\frac{1}{2} \angle$$ADC and $$\angle$$BAC = 77$$^\circ$$ and $$\angle$$C = 45$$^\circ$$. What is the measure of $$\angle$$ADB?",$$77^\circ$$,$$64^\circ$$,$$58^\circ$$,$$45^\circ$$,2021,M,23rd August Shift 2,B,Geometry,Congruence and Similarity of Triangles
"If $$x + \frac{1}{x} = 2\sqrt{5}$$, then what is the value of $$\frac{\left(x^4 + \frac{1}{x^2}\right)}{x^2 + 1}$$?",14,17,20,23,2021,E,23rd August Shift 2,B,Algebra,Identities
The value of $$423 \div \left[270 \div \frac{3}{7} \times 35 + \left(17 \div \frac{1}{3}\right) - \left(8\frac{1}{2} - \frac{5}{2}\right)\right]$$ is:,$$\frac{51}{2455}$$,$$\frac{47}{2455}$$,$$\frac{43}{2455}$$,$$\frac{41}{2455}$$,2021,E,23rd August Shift 2,B,Algebra,Identities
"If $$0^\circ < \theta < 90^\circ, \sqrt{\frac{\sec^2 \theta + cosec^2 \theta}{\tan^2 \theta - \sin^2 \theta}}$$ is equal to:",$$\sec^3 \theta$$,$$cosec^3 \theta$$,$$\sin^2 \theta$$,$$\sec^2 \theta$$,2021,E,23rd August Shift 2,B,Trigonometry,Trigonometric Ratios and Identities
"The following Pie chart represents the percentage-wise distribution of 800 students of class XII in a school in six different sections A, B, C, D, E and F.
https://media-cdn.cracku.in/uploads/Screenshot_435_lgUmhXV.png                                                                                                                                                                             The table given below shows the number of girls of class XII in six different sections A, B, C, D, E and F.                                                                                                  https://media-cdn.cracku.in/uploads/Screenshot_436_QrXzApm.png",50,76.25,65.75,80,2021,E,23rd August Shift 2,B,Data Interpretation,Pie Chart
$$(\operatorname{cosec}A-\cot A)(1+\cos A)=?$$,$$\cos A$$,$$\sin A$$,$$\cot A$$,$$cosec A$$,2021,E,23rd August Shift 2,B,Trigonometry,Trigonometric Ratios and Identities
"What is the sum of the digits of the largest five digit number which is divisible by 5, 35, 39 and 65?",30,33,27,35,2021,E,20th August Shift 2,B,Arithmetic,Divisibility & Remainder
"If $$\frac{x}{y} + \frac{y}{x} = 2, (x, y \neq 0)$$, then the value of $$(x - y)$$ is:",1,0,2,-2,2021,E,20th August Shift 2,B,Algebra,Identities
"If $$\cot \theta = \frac{15}{8}, \theta$$ is an acute angle, then find the value of $$\frac{(1 - \cos \theta)(2 + 2 \cos \theta)}{(2 - 2 \sin \theta)(1 + \sin \theta)}$$.",$$\frac{225}{64}$$,$$\frac{64}{225}$$,$$\frac{16}{15}$$,$$\frac{8}{15}$$,2021,M,20th August Shift 2,B,Trigonometry,Trigonometric Ratios and Identities
"The angles of a triangle are in AP (arithmetic progression). If measure of the smallest angle is $$50^\circ$$ less than that of the largest angle, then find the largest angle (in degrees).",90,85,80,75,2021,M,20th August Shift 2,B,Mensuration,Plane Figures
A boat can go 5 km upstream and $$7\frac{1}{2}$$ km downstream in 45 minutes.It can also go 5 km downstream and 2.5 km upstream in 25 minutes. How muchtime(in minutes) will it take to go 6 km downstream?,10,12,15,20,2021,E,20th August Shift 2,B,Arithmetic,Boats & Streams
"By selling an article for ₹131.25, a trader gains as much percent as the number representing the cost price of the article. In order to earn 40% profit, at what price (in ₹) should hesell the article?",140,105,75,100,2021,E,18th August Shift 2,B,Arithmetic,Profit & Loss
"In $$\triangle PQR, \angle Q = 90^\circ$$. If $$\tan R = \frac{1}{3}$$, then what is the value of $$\frac{\sec P(\cos R + \sin P)}{cosec R(\sin R - cosec P)}$$?",$$\frac{18}{7}$$,$$-\frac{18}{7}$$,$$-\frac{2}{7}$$,$$\frac{2}{7}$$,2021,E,18th August Shift 2,B,Trigonometry,Trigonometric Ratios and Identities
